%time,field0,field1
58160000000,-44.6257772615,4.42857898923
58161000000,-44.6257779552,4.42857952643
58163000000,-44.6257794537,4.42858068842
58163000000,-44.6257794537,4.42858068842
58164000000,-44.6257802551,4.4285813105
58166000000,-44.6257810893,4.42858195814
58167000000,-44.6257828487,4.42858332429
58168000000,-44.6257828487,4.42858332429
58168000000,-44.6257837705,4.42858403986
58170000000,-44.6257847179,4.42858477508
58170000000,-44.6257856893,4.42858552841
58172000000,-44.6257866827,4.42858629831
58173000000,-44.6257887284,4.4285878815
58173000000,-44.6257887284,4.4285878815
58175000000,-44.625789777,4.4285886916
58176000000,-44.6257908403,4.42858951191
58176000000,-44.6257908403,4.42858951191
58177000000,-44.6257930033,4.42859117669
58180000000,-44.6257963106,4.42859370994
58181000000,-44.6257963106,4.42859370994
58181000000,-44.6257963106,4.42859370994
58185000000,-44.625800756,4.42859708344
58185000000,-44.6258018583,4.42859791255
58189000000,-44.6258029514,4.42859873202
58189000000,-44.6258050989,4.42860033466
58189000000,-44.6258050989,4.42860033466
58190000000,-44.6258071769,4.42860187724
58190000000,-44.6258071769,4.42860187724
58192000000,-44.6258081833,4.42860262186
58193000000,-44.6258101186,4.42860405006
58193000000,-44.6258101186,4.42860405006
58194000000,-44.6258110427,4.42860473073
58196000000,-44.6258119349,4.42860538729
58197000000,-44.6258127931,4.42860601843
58198000000,-44.6258136151,4.42860662294
58198000000,-44.6258143994,4.42860719966
58200000000,-44.625815144,4.42860774748
58201000000,-44.6258158474,4.42860826538
58201000000,-44.6258165081,4.42860875238
58203000000,-44.6258171249,4.4286092076
58203000000,-44.6258176965,4.42860963019
58204000000,-44.6258182218,4.42861001941
58206000000,-44.6258187,4.42861037456
58206000000,-44.6258191303,4.42861069502
58207000000,-44.6258195121,4.42861098025
58209000000,-44.625819845,4.4286112298
58210000000,-44.6258201285,4.42861144326
58213000000,-44.6258207677,4.42861193137
58214000000,-44.6258207677,4.42861193137
58214000000,-44.6258208045,4.42861196147
58214000000,-44.6258208045,4.42861196147
58214000000,-44.6258208045,4.42861196147
58215000000,-44.6258207926,4.42861195488
58217000000,-44.6258206257,4.42861183254
58218000000,-44.6258206257,4.42861183254
58219000000,-44.6258202723,4.42861156695
58219000000,-44.6258202723,4.42861156695
58221000000,-44.6258200276,4.4286113816
58221000000,-44.6258197389,4.42861116197
58225000000,-44.6258181639,4.42860995493
58225000000,-44.6258181639,4.42860995493
58225000000,-44.6258181639,4.42860995493
58225000000,-44.6258181639,4.42860995493
58226000000,-44.6258176707,4.42860957513
58228000000,-44.6258165736,4.42860872843
58228000000,-44.6258165736,4.42860872843
58230000000,-44.6258153377,4.42860777253
58230000000,-44.6258153377,4.42860777253
58231000000,-44.6258146711,4.42860725642
58233000000,-44.625813974,4.42860671641
58233000000,-44.6258132478,4.42860615374
58234000000,-44.6258124941,4.42860556963
58236000000,-44.6258109101,4.42860434228
58236000000,-44.6258109101,4.42860434228
58237000000,-44.625810083,4.42860370167
58239000000,-44.6258083664,4.42860237328
58239000000,-44.6258083664,4.42860237328
58240000000,-44.6258074801,4.42860168827
58242000000,-44.6258056601,4.4286002836
58242000000,-44.6258056601,4.4286002836
58243000000,-44.6258047295,4.42859956677
58245000000,-44.6258028359,4.42859811128
58245000000,-44.6258028359,4.42859811128
58247000000,-44.6258009102,4.42859663625
58247000000,-44.6258009102,4.42859663625
58248000000,-44.6257999396,4.428595895
58250000000,-44.6257989661,4.42859515317
58250000000,-44.6257979914,4.4285944122
58251000000,-44.6257970174,4.42859367431
58253000000,-44.6257950812,4.42859221456
58253000000,-44.6257950812,4.42859221456
58254000000,-44.6257941239,4.42859149605
58256000000,-44.625793177,4.4285907873
58256000000,-44.6257922429,4.42859008987
58257000000,-44.6257913238,4.42858940529
58258000000,-44.625790422,4.42858873501
58260000000,-44.6257886793,4.42858744302
58260000000,-44.6257886793,4.42858744302
58260000000,-44.6257878425,4.42858682399
58266000000,-44.6257870314,4.42858622464
58270000000,-44.6257816789,4.42858227142
58270000000,-44.6257816789,4.42858227142
58272000000,-44.6257811736,4.42858189678
58273000000,-44.6257802845,4.42858123576
58273000000,-44.6257802845,4.42858123576
58274000000,-44.6257799021,4.42858095055
58276000000,-44.6257795621,4.42858069623
58276000000,-44.6257792649,4.42858047322
58277000000,-44.6257790107,4.42858028188
58279000000,-44.6257786325,4.42857999531
58280000000,-44.6257786325,4.42857999531
58281000000,-44.6257785085,4.42857990044
58281000000,-44.6257784279,4.42857983797
58282000000,-44.6257783904,4.42857980789
58284000000,-44.6257783957,4.42857981015
58284000000,-44.6257784433,4.42857984458
58286000000,-44.6257785328,4.42857991096
58287000000,-44.625778835,4.42858013833
58287000000,-44.625778835,4.42858013833
58288000000,-44.625778835,4.42858013833
58290000000,-44.625778835,4.42858013833
58290000000,-44.625778835,4.42858013833
58291000000,-44.6257799121,4.42858095905
58293000000,-44.6257806733,4.42858154302
58294000000,-44.6257806733,4.42858154302
58295000000,-44.6257815724,4.42858223497
58295000000,-44.6257815724,4.42858223497
58297000000,-44.6257820709,4.42858261935
58297000000,-44.6257826006,4.4285830281
58299000000,-44.62578316,4.42858346027
