%time,field0,field1
7953000000,27.2975002942,-3.02932435905
7955000000,27.2988265432,-3.02956776601
7955000000,27.3001424365,-3.02981084899
7956000000,27.3014479234,-3.03005359871
7958000000,27.3027430678,-3.03029600598
7959000000,27.3053022431,-3.03077975692
7959000000,27.3053022431,-3.03077975692
7961000000,27.3078200202,-3.03126203027
7961000000,27.3078200202,-3.03126203027
7963000000,27.3090634167,-3.03150259091
7964000000,27.3115192087,-3.03198251712
7964000000,27.3115192087,-3.03198251712
7966000000,27.3127316202,-3.03222186575
7967000000,27.3151255701,-3.03269929244
7967000000,27.3151255701,-3.03269929244
7969000000,27.3163071248,-3.03293735412
7970000000,27.3174783744,-3.03317497063
7970000000,27.3186393816,-3.03341213398
7972000000,27.3197901014,-3.03364883634
7973000000,27.3220608216,-3.03412082706
7974000000,27.3231808398,-3.03435610016
7975000000,27.3231808398,-3.03435610016
7975000000,27.3242906071,-3.03459088172
7977000000,27.3253901856,-3.03482516432
7978000000,27.3275587085,-3.03529220348
7978000000,27.3275587085,-3.03529220348
7980000000,27.3286276723,-3.03552494566
7980000000,27.3296864851,-3.0357571601
7981000000,27.3307351052,-3.03598883987
7983000000,27.3317735938,-3.03621997803
7983000000,27.3317735938,-3.03621997803
7984000000,27.3338201145,-3.03668060249
7985000000,27.3348281921,-3.03691007542
7987000000,27.3368139834,-3.03736730991
7987000000,27.3368139834,-3.03736730991
7989000000,27.3377917181,-3.0375950586
7990000000,27.3387593928,-3.03782221981
7991000000,27.3387593928,-3.03782221981
7992000000,27.3416019652,-3.03850011671
7992000000,27.3416019652,-3.03850011671
7994000000,27.3425294076,-3.03872486652
7995000000,27.3443541867,-3.03917250685
7996000000,27.3443541867,-3.03917250685
7997000000,27.3452515458,-3.03939538577
7997000000,27.3461389315,-3.03961762958
7998000000,27.3470163071,-3.0398392327
8000000000,27.3478837318,-3.04006018957
8001000000,27.3495886786,-3.04050014287
8001000000,27.3495886786,-3.04050014287
8002000000,27.3504262239,-3.04071912861
8004000000,27.3512538638,-3.04093744672
8005000000,27.3528793804,-3.04137205954
8005000000,27.3528793804,-3.04137205954
8006000000,27.3536772807,-3.04158834413
8008000000,27.3544653221,-3.04180394087
8009000000,27.3560117835,-3.04223305141
8009000000,27.3560117835,-3.04223305141
8011000000,27.3567702502,-3.04244655564
8011000000,27.3575188602,-3.04265935293
8013000000,27.3582576707,-3.04287143866
8014000000,27.3597058513,-3.04329345738
8014000000,27.3597058513,-3.04329345738
8016000000,27.360415246,-3.04350338149
8017000000,27.3611148895,-3.04371257627
8017000000,27.3618047498,-3.04392103745
8018000000,27.3624848831,-3.04412876082
8020000000,27.3631552582,-3.04433574223
8021000000,27.3644668703,-3.04474746285
8021000000,27.3644668703,-3.04474746285
8022000000,27.365108132,-3.04495219407
8023000000,27.3657396854,-3.04515616734
8025000000,27.3669738034,-3.04556182471
8026000000,27.3669738034,-3.04556182471
8026000000,27.3675763929,-3.04576350129
8028000000,27.3681693246,-3.0459644049
8028000000,27.3687526534,-3.04616453193
8030000000,27.3693263706,-3.04636387883
8031000000,27.3704450003,-3.0467602183
8031000000,27.3704450003,-3.0467602183
8033000000,27.3709899384,-3.04695720406
8034000000,27.3720511659,-3.04734879097
8034000000,27.3720511659,-3.04734879097
8036000000,27.3725674806,-3.04754338563
8036000000,27.3725674806,-3.04754338563
8037000000,27.3735715348,-3.04793016153
8040000000,27.3740592999,-3.0481223366
8042000000,27.3754657816,-3.04869397432
8042000000,27.3754657816,-3.04869397432
8042000000,27.3754657816,-3.04869397432
8043000000,27.3759156868,-3.04888288139
8043000000,27.3763561788,-3.0490709643
8045000000,27.3767872308,-3.04925822033
8046000000,27.3776211452,-3.04963024089
8046000000,27.3776211452,-3.04963024089
8048000000,27.3780240331,-3.04981500015
8048000000,27.3784175324,-3.04999892196
8049000000,27.3788016951,-3.05018200381
8051000000,27.3791765143,-3.05036424322
8052000000,27.3795419834,-3.05054563778
8052000000,27.3798981542,-3.05072618507
8053000000,27.3802450007,-3.05090588279
8055000000,27.3805825743,-3.05108472861
8056000000,27.3812298769,-3.05143985566
8056000000,27.3812298769,-3.05143985566
8058000000,27.3815396316,-3.05161613252
8059000000,27.3821314494,-3.05196610224
8060000000,27.3821314494,-3.05196610224
8061000000,27.3826864047,-3.05231261299
8061000000,27.3826864047,-3.05231261299
8063000000,27.3829501001,-3.05248456628
8064000000,27.3834499522,-3.05282585906
8065000000,27.3834499522,-3.05282585906
8066000000,27.3839131956,-3.05316365445
8066000000,27.3839131956,-3.05316365445
8068000000,27.3841311114,-3.05333123614
8069000000,27.3843399313,-3.05349793816
8069000000,27.384539631,-3.05366375884
8070000000,27.3847302599,-3.0538286965
8072000000,27.3849118119,-3.05399274954
8072000000,27.3850842816,-3.05415591637
8073000000,27.3852477178,-3.05431819543
8075000000,27.3854020966,-3.05447958522
8076000000,27.3856838047,-3.05479969107
8076000000,27.3856838047,-3.05479969107
8078000000,27.385929505,-3.05511622247
8078000000,27.385929505,-3.05511622247
8080000000,27.386038892,-3.05527314432
8081000000,27.3862307657,-3.05558429374
